quality,visual_family,abandoned_state,state_eligible,footprint,height,vanilla_block_count,domum_block_count,block_entity_count,container_count,mandatory_path_clear,shelter_entrance_clear,shaft_exit_clear,cross_chunk_writes,surface_ore_count,productive_reservation_change,deterministic_selection_key,measurement_status
DRY,ROCKY,FAILED_PROSPECTION,YES,9,4,90,0,0,0,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%3,STATIC_MODEL_UPPER_BOUND
DRY,ROCKY,EVACUATED,NO,9,4,,,,,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,,NOT_APPLICABLE,NOT_ELIGIBLE,STATIC_MODEL_UPPER_BOUND
DRY,VOLCANIC,RECENTLY_ABANDONED,NO,9,4,,,,,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,,NOT_APPLICABLE,NOT_ELIGIBLE,STATIC_MODEL_UPPER_BOUND
DRY,VOLCANIC,WEATHERED,YES,9,4,90,0,0,0,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%3,STATIC_MODEL_UPPER_BOUND
DRY,VOLCANIC,COLLAPSED,YES,9,4,94,0,0,0,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%3,STATIC_MODEL_UPPER_BOUND
DRY,VOLCANIC,FAILED_PROSPECTION,YES,9,4,90,0,0,0,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%3,STATIC_MODEL_UPPER_BOUND
DRY,VOLCANIC,EVACUATED,NO,9,4,,,,,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,,NOT_APPLICABLE,NOT_ELIGIBLE,STATIC_MODEL_UPPER_BOUND
POOR,TEMPERATE,RECENTLY_ABANDONED,YES,11,5,116,7,8,1,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
POOR,TEMPERATE,WEATHERED,YES,11,5,116,7,8,1,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
POOR,TEMPERATE,COLLAPSED,YES,11,5,120,7,7,0,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
POOR,TEMPERATE,FAILED_PROSPECTION,YES,11,5,116,7,7,0,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
POOR,TEMPERATE,EVACUATED,NO,11,5,,,,,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,,NOT_APPLICABLE,NOT_ELIGIBLE,STATIC_MODEL_UPPER_BOUND
POOR,CONIFER,RECENTLY_ABANDONED,YES,11,5,119,7,8,1,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
POOR,CONIFER,WEATHERED,YES,11,5,119,7,8,1,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
POOR,CONIFER,COLLAPSED,YES,11,5,123,7,7,0,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
POOR,CONIFER,FAILED_PROSPECTION,YES,11,5,119,7,7,0,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
POOR,CONIFER,EVACUATED,NO,11,5,,,,,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,,NOT_APPLICABLE,NOT_ELIGIBLE,STATIC_MODEL_UPPER_BOUND
POOR,SNOWY,RECENTLY_ABANDONED,YES,11,5,118,7,8,1,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
POOR,SNOWY,WEATHERED,YES,11,5,118,7,8,1,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
POOR,SNOWY,COLLAPSED,YES,11,5,122,7,7,0,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
POOR,SNOWY,FAILED_PROSPECTION,YES,11,5,118,7,7,0,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
POOR,SNOWY,EVACUATED,NO,11,5,,,,,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,,NOT_APPLICABLE,NOT_ELIGIBLE,STATIC_MODEL_UPPER_BOUND
POOR,WETLAND,RECENTLY_ABANDONED,YES,11,5,124,7,8,1,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
POOR,WETLAND,WEATHERED,YES,11,5,124,7,8,1,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
POOR,WETLAND,COLLAPSED,YES,11,5,128,7,7,0,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
POOR,WETLAND,FAILED_PROSPECTION,YES,11,5,124,7,7,0,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
POOR,WETLAND,EVACUATED,NO,11,5,,,,,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,,NOT_APPLICABLE,NOT_ELIGIBLE,STATIC_MODEL_UPPER_BOUND
POOR,TROPICAL,RECENTLY_ABANDONED,YES,11,5,124,7,8,1,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
POOR,TROPICAL,WEATHERED,YES,11,5,124,7,8,1,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
POOR,TROPICAL,COLLAPSED,YES,11,5,128,7,7,0,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
POOR,TROPICAL,FAILED_PROSPECTION,YES,11,5,124,7,7,0,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
POOR,TROPICAL,EVACUATED,NO,11,5,,,,,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,,NOT_APPLICABLE,NOT_ELIGIBLE,STATIC_MODEL_UPPER_BOUND
POOR,ARID,RECENTLY_ABANDONED,YES,11,5,115,7,8,1,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
POOR,ARID,WEATHERED,YES,11,5,115,7,8,1,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
POOR,ARID,COLLAPSED,YES,11,5,119,7,7,0,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
POOR,ARID,FAILED_PROSPECTION,YES,11,5,115,7,7,0,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
POOR,ARID,EVACUATED,NO,11,5,,,,,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,,NOT_APPLICABLE,NOT_ELIGIBLE,STATIC_MODEL_UPPER_BOUND
POOR,ROCKY,RECENTLY_ABANDONED,YES,11,5,116,7,8,1,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
POOR,ROCKY,WEATHERED,YES,11,5,116,7,8,1,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
POOR,ROCKY,COLLAPSED,YES,11,5,120,7,7,0,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
POOR,ROCKY,FAILED_PROSPECTION,YES,11,5,116,7,7,0,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
POOR,ROCKY,EVACUATED,NO,11,5,,,,,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,,NOT_APPLICABLE,NOT_ELIGIBLE,STATIC_MODEL_UPPER_BOUND
POOR,VOLCANIC,RECENTLY_ABANDONED,YES,11,5,117,7,8,1,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
POOR,VOLCANIC,WEATHERED,YES,11,5,117,7,8,1,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
POOR,VOLCANIC,COLLAPSED,YES,11,5,121,7,7,0,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
POOR,VOLCANIC,FAILED_PROSPECTION,YES,11,5,117,7,7,0,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
POOR,VOLCANIC,EVACUATED,NO,11,5,,,,,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,,NOT_APPLICABLE,NOT_ELIGIBLE,STATIC_MODEL_UPPER_BOUND
NORMAL,TEMPERATE,RECENTLY_ABANDONED,YES,13,6,186,12,13,1,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
NORMAL,TEMPERATE,WEATHERED,YES,13,6,186,12,13,1,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
NORMAL,TEMPERATE,COLLAPSED,YES,13,6,190,12,12,0,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
NORMAL,TEMPERATE,FAILED_PROSPECTION,NO,13,6,,,,,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,,NOT_APPLICABLE,NOT_ELIGIBLE,STATIC_MODEL_UPPER_BOUND
NORMAL,TEMPERATE,EVACUATED,YES,13,6,186,12,12,0,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
NORMAL,CONIFER,RECENTLY_ABANDONED,YES,13,6,191,12,13,1,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
NORMAL,CONIFER,WEATHERED,YES,13,6,191,12,13,1,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
NORMAL,CONIFER,COLLAPSED,YES,13,6,195,12,12,0,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
NORMAL,CONIFER,FAILED_PROSPECTION,NO,13,6,,,,,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,,NOT_APPLICABLE,NOT_ELIGIBLE,STATIC_MODEL_UPPER_BOUND
NORMAL,CONIFER,EVACUATED,YES,13,6,191,12,12,0,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
NORMAL,SNOWY,RECENTLY_ABANDONED,YES,13,6,190,12,13,1,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
NORMAL,SNOWY,WEATHERED,YES,13,6,190,12,13,1,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
NORMAL,SNOWY,COLLAPSED,YES,13,6,194,12,12,0,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
NORMAL,SNOWY,FAILED_PROSPECTION,NO,13,6,,,,,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,,NOT_APPLICABLE,NOT_ELIGIBLE,STATIC_MODEL_UPPER_BOUND
NORMAL,SNOWY,EVACUATED,YES,13,6,190,12,12,0,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
NORMAL,WETLAND,RECENTLY_ABANDONED,YES,13,6,197,12,13,1,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
NORMAL,WETLAND,WEATHERED,YES,13,6,197,12,13,1,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
NORMAL,WETLAND,COLLAPSED,YES,13,6,201,12,12,0,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
NORMAL,WETLAND,FAILED_PROSPECTION,NO,13,6,,,,,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,,NOT_APPLICABLE,NOT_ELIGIBLE,STATIC_MODEL_UPPER_BOUND
NORMAL,WETLAND,EVACUATED,YES,13,6,197,12,12,0,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
NORMAL,TROPICAL,RECENTLY_ABANDONED,YES,13,6,201,12,13,1,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
NORMAL,TROPICAL,WEATHERED,YES,13,6,201,12,13,1,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
NORMAL,TROPICAL,COLLAPSED,YES,13,6,205,12,12,0,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
NORMAL,TROPICAL,FAILED_PROSPECTION,NO,13,6,,,,,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,,NOT_APPLICABLE,NOT_ELIGIBLE,STATIC_MODEL_UPPER_BOUND
NORMAL,TROPICAL,EVACUATED,YES,13,6,201,12,12,0,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
NORMAL,ARID,RECENTLY_ABANDONED,YES,13,6,187,12,13,1,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
NORMAL,ARID,WEATHERED,YES,13,6,187,12,13,1,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
NORMAL,ARID,COLLAPSED,YES,13,6,191,12,12,0,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
NORMAL,ARID,FAILED_PROSPECTION,NO,13,6,,,,,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,,NOT_APPLICABLE,NOT_ELIGIBLE,STATIC_MODEL_UPPER_BOUND
NORMAL,ARID,EVACUATED,YES,13,6,187,12,12,0,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
NORMAL,ROCKY,RECENTLY_ABANDONED,YES,13,6,188,12,13,1,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
NORMAL,ROCKY,WEATHERED,YES,13,6,188,12,13,1,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
NORMAL,ROCKY,COLLAPSED,YES,13,6,192,12,12,0,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
NORMAL,ROCKY,FAILED_PROSPECTION,NO,13,6,,,,,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,,NOT_APPLICABLE,NOT_ELIGIBLE,STATIC_MODEL_UPPER_BOUND
NORMAL,ROCKY,EVACUATED,YES,13,6,188,12,12,0,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
NORMAL,VOLCANIC,RECENTLY_ABANDONED,YES,13,6,186,12,13,1,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
NORMAL,VOLCANIC,WEATHERED,YES,13,6,186,12,13,1,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
NORMAL,VOLCANIC,COLLAPSED,YES,13,6,190,12,12,0,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
NORMAL,VOLCANIC,FAILED_PROSPECTION,NO,13,6,,,,,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,,NOT_APPLICABLE,NOT_ELIGIBLE,STATIC_MODEL_UPPER_BOUND
NORMAL,VOLCANIC,EVACUATED,YES,13,6,186,12,12,0,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
RICH,TEMPERATE,RECENTLY_ABANDONED,YES,15,7,259,18,19,1,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
RICH,TEMPERATE,WEATHERED,YES,15,7,259,18,19,1,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
RICH,TEMPERATE,COLLAPSED,YES,15,7,263,18,19,1,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
RICH,TEMPERATE,FAILED_PROSPECTION,NO,15,7,,,,,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,,NOT_APPLICABLE,NOT_ELIGIBLE,STATIC_MODEL_UPPER_BOUND
RICH,TEMPERATE,EVACUATED,YES,15,7,259,18,19,1,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
RICH,CONIFER,RECENTLY_ABANDONED,YES,15,7,266,18,19,1,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
RICH,CONIFER,WEATHERED,YES,15,7,266,18,19,1,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%4,STATIC_MODEL_UPPER_BOUND
