quality,visual_family,abandoned_state,rotation,width,depth,height_span,planned_writes,non_air_blocks,air_reservations,vanilla_block_entities,domum_block_entities,cross_chunk_writes,access_violations,hatch_collisions,measurement_status
DRY,SNOWY,FAILED_PROSPECTION,CLOCKWISE_90,9,9,4,120,92,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,SNOWY,FAILED_PROSPECTION,CLOCKWISE_180,9,9,4,120,92,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,SNOWY,FAILED_PROSPECTION,COUNTERCLOCKWISE_90,9,9,4,120,92,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,WETLAND,WEATHERED,NONE,9,9,4,122,90,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,WETLAND,WEATHERED,CLOCKWISE_90,9,9,4,122,90,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,WETLAND,WEATHERED,CLOCKWISE_180,9,9,4,122,90,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,WETLAND,WEATHERED,COUNTERCLOCKWISE_90,9,9,4,122,90,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,WETLAND,COLLAPSED,NONE,9,9,4,131,94,32,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,WETLAND,COLLAPSED,CLOCKWISE_90,9,9,4,131,94,32,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,WETLAND,COLLAPSED,CLOCKWISE_180,9,9,4,131,94,32,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,WETLAND,COLLAPSED,COUNTERCLOCKWISE_90,9,9,4,131,94,32,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,WETLAND,FAILED_PROSPECTION,NONE,9,9,4,122,90,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,WETLAND,FAILED_PROSPECTION,CLOCKWISE_90,9,9,4,122,90,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,WETLAND,FAILED_PROSPECTION,CLOCKWISE_180,9,9,4,122,90,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,WETLAND,FAILED_PROSPECTION,COUNTERCLOCKWISE_90,9,9,4,122,90,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,TROPICAL,WEATHERED,NONE,9,9,4,124,93,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,TROPICAL,WEATHERED,CLOCKWISE_90,9,9,4,124,93,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,TROPICAL,WEATHERED,CLOCKWISE_180,9,9,4,124,93,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,TROPICAL,WEATHERED,COUNTERCLOCKWISE_90,9,9,4,124,93,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,TROPICAL,COLLAPSED,NONE,9,9,4,133,97,32,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,TROPICAL,COLLAPSED,CLOCKWISE_90,9,9,4,133,97,32,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,TROPICAL,COLLAPSED,CLOCKWISE_180,9,9,4,133,97,32,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,TROPICAL,COLLAPSED,COUNTERCLOCKWISE_90,9,9,4,133,97,32,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,TROPICAL,FAILED_PROSPECTION,NONE,9,9,4,124,93,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,TROPICAL,FAILED_PROSPECTION,CLOCKWISE_90,9,9,4,124,93,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,TROPICAL,FAILED_PROSPECTION,CLOCKWISE_180,9,9,4,124,93,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,TROPICAL,FAILED_PROSPECTION,COUNTERCLOCKWISE_90,9,9,4,124,93,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,ARID,WEATHERED,NONE,9,9,4,120,91,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,ARID,WEATHERED,CLOCKWISE_90,9,9,4,120,91,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,ARID,WEATHERED,CLOCKWISE_180,9,9,4,120,91,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,ARID,WEATHERED,COUNTERCLOCKWISE_90,9,9,4,120,91,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,ARID,COLLAPSED,NONE,9,9,4,129,95,32,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,ARID,COLLAPSED,CLOCKWISE_90,9,9,4,129,95,32,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,ARID,COLLAPSED,CLOCKWISE_180,9,9,4,129,95,32,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,ARID,COLLAPSED,COUNTERCLOCKWISE_90,9,9,4,129,95,32,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,ARID,FAILED_PROSPECTION,NONE,9,9,4,120,91,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,ARID,FAILED_PROSPECTION,CLOCKWISE_90,9,9,4,120,91,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,ARID,FAILED_PROSPECTION,CLOCKWISE_180,9,9,4,120,91,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,ARID,FAILED_PROSPECTION,COUNTERCLOCKWISE_90,9,9,4,120,91,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,ROCKY,WEATHERED,NONE,9,9,4,118,90,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,ROCKY,WEATHERED,CLOCKWISE_90,9,9,4,118,90,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,ROCKY,WEATHERED,CLOCKWISE_180,9,9,4,118,90,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,ROCKY,WEATHERED,COUNTERCLOCKWISE_90,9,9,4,118,90,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,ROCKY,COLLAPSED,NONE,9,9,4,127,94,32,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,ROCKY,COLLAPSED,CLOCKWISE_90,9,9,4,127,94,32,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,ROCKY,COLLAPSED,CLOCKWISE_180,9,9,4,127,94,32,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,ROCKY,COLLAPSED,COUNTERCLOCKWISE_90,9,9,4,127,94,32,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,ROCKY,FAILED_PROSPECTION,NONE,9,9,4,118,90,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,ROCKY,FAILED_PROSPECTION,CLOCKWISE_90,9,9,4,118,90,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,ROCKY,FAILED_PROSPECTION,CLOCKWISE_180,9,9,4,118,90,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,ROCKY,FAILED_PROSPECTION,COUNTERCLOCKWISE_90,9,9,4,118,90,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,VOLCANIC,WEATHERED,NONE,9,9,4,118,90,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,VOLCANIC,WEATHERED,CLOCKWISE_90,9,9,4,118,90,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,VOLCANIC,WEATHERED,CLOCKWISE_180,9,9,4,118,90,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,VOLCANIC,WEATHERED,COUNTERCLOCKWISE_90,9,9,4,118,90,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,VOLCANIC,COLLAPSED,NONE,9,9,4,127,94,32,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,VOLCANIC,COLLAPSED,CLOCKWISE_90,9,9,4,127,94,32,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,VOLCANIC,COLLAPSED,CLOCKWISE_180,9,9,4,127,94,32,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,VOLCANIC,COLLAPSED,COUNTERCLOCKWISE_90,9,9,4,127,94,32,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,VOLCANIC,FAILED_PROSPECTION,NONE,9,9,4,118,90,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,VOLCANIC,FAILED_PROSPECTION,CLOCKWISE_90,9,9,4,118,90,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,VOLCANIC,FAILED_PROSPECTION,CLOCKWISE_180,9,9,4,118,90,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,VOLCANIC,FAILED_PROSPECTION,COUNTERCLOCKWISE_90,9,9,4,118,90,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,TEMPERATE,RECENTLY_ABANDONED,NONE,11,11,5,154,116,30,1,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,TEMPERATE,RECENTLY_ABANDONED,CLOCKWISE_90,11,11,5,154,116,32,1,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,TEMPERATE,RECENTLY_ABANDONED,CLOCKWISE_180,11,11,5,154,116,32,1,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,TEMPERATE,RECENTLY_ABANDONED,COUNTERCLOCKWISE_90,11,11,5,154,116,32,1,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,TEMPERATE,WEATHERED,NONE,11,11,5,154,116,30,1,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,TEMPERATE,WEATHERED,CLOCKWISE_90,11,11,5,154,116,32,1,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,TEMPERATE,WEATHERED,CLOCKWISE_180,11,11,5,154,116,32,1,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,TEMPERATE,WEATHERED,COUNTERCLOCKWISE_90,11,11,5,154,116,32,1,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,TEMPERATE,COLLAPSED,NONE,11,11,5,163,120,34,0,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,TEMPERATE,COLLAPSED,CLOCKWISE_90,11,11,5,163,120,34,0,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,TEMPERATE,COLLAPSED,CLOCKWISE_180,11,11,5,163,120,36,0,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,TEMPERATE,COLLAPSED,COUNTERCLOCKWISE_90,11,11,5,163,120,36,0,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,TEMPERATE,FAILED_PROSPECTION,NONE,11,11,5,154,116,30,0,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,TEMPERATE,FAILED_PROSPECTION,CLOCKWISE_90,11,11,5,154,116,32,0,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,TEMPERATE,FAILED_PROSPECTION,CLOCKWISE_180,11,11,5,154,116,32,0,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,TEMPERATE,FAILED_PROSPECTION,COUNTERCLOCKWISE_90,11,11,5,154,116,32,0,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,CONIFER,RECENTLY_ABANDONED,NONE,11,11,5,154,119,30,1,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,CONIFER,RECENTLY_ABANDONED,CLOCKWISE_90,11,11,5,154,119,32,1,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,CONIFER,RECENTLY_ABANDONED,CLOCKWISE_180,11,11,5,154,119,32,1,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,CONIFER,RECENTLY_ABANDONED,COUNTERCLOCKWISE_90,11,11,5,154,119,32,1,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,CONIFER,WEATHERED,NONE,11,11,5,154,119,30,1,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,CONIFER,WEATHERED,CLOCKWISE_90,11,11,5,154,119,32,1,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,CONIFER,WEATHERED,CLOCKWISE_180,11,11,5,154,119,32,1,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,CONIFER,WEATHERED,COUNTERCLOCKWISE_90,11,11,5,154,119,32,1,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,CONIFER,COLLAPSED,NONE,11,11,5,163,123,34,0,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,CONIFER,COLLAPSED,CLOCKWISE_90,11,11,5,163,123,34,0,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,CONIFER,COLLAPSED,CLOCKWISE_180,11,11,5,163,123,36,0,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,CONIFER,COLLAPSED,COUNTERCLOCKWISE_90,11,11,5,163,123,36,0,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,CONIFER,FAILED_PROSPECTION,NONE,11,11,5,154,119,30,0,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,CONIFER,FAILED_PROSPECTION,CLOCKWISE_90,11,11,5,154,119,32,0,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,CONIFER,FAILED_PROSPECTION,CLOCKWISE_180,11,11,5,154,119,32,0,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,CONIFER,FAILED_PROSPECTION,COUNTERCLOCKWISE_90,11,11,5,154,119,32,0,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,SNOWY,RECENTLY_ABANDONED,NONE,11,11,5,154,118,30,1,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,SNOWY,RECENTLY_ABANDONED,CLOCKWISE_90,11,11,5,154,118,32,1,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,SNOWY,RECENTLY_ABANDONED,CLOCKWISE_180,11,11,5,154,118,32,1,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,SNOWY,RECENTLY_ABANDONED,COUNTERCLOCKWISE_90,11,11,5,154,118,32,1,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,SNOWY,WEATHERED,NONE,11,11,5,154,118,30,1,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,SNOWY,WEATHERED,CLOCKWISE_90,11,11,5,154,118,32,1,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,SNOWY,WEATHERED,CLOCKWISE_180,11,11,5,154,118,32,1,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,SNOWY,WEATHERED,COUNTERCLOCKWISE_90,11,11,5,154,118,32,1,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,SNOWY,COLLAPSED,NONE,11,11,5,163,122,34,0,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,SNOWY,COLLAPSED,CLOCKWISE_90,11,11,5,163,122,34,0,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,SNOWY,COLLAPSED,CLOCKWISE_180,11,11,5,163,122,36,0,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,SNOWY,COLLAPSED,COUNTERCLOCKWISE_90,11,11,5,163,122,36,0,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,SNOWY,FAILED_PROSPECTION,NONE,11,11,5,154,118,30,0,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,SNOWY,FAILED_PROSPECTION,CLOCKWISE_90,11,11,5,154,118,32,0,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,SNOWY,FAILED_PROSPECTION,CLOCKWISE_180,11,11,5,154,118,32,0,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,SNOWY,FAILED_PROSPECTION,COUNTERCLOCKWISE_90,11,11,5,154,118,32,0,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,WETLAND,RECENTLY_ABANDONED,NONE,11,11,5,161,124,30,1,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,WETLAND,RECENTLY_ABANDONED,CLOCKWISE_90,11,11,5,161,124,32,1,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,WETLAND,RECENTLY_ABANDONED,CLOCKWISE_180,11,11,5,161,124,32,1,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,WETLAND,RECENTLY_ABANDONED,COUNTERCLOCKWISE_90,11,11,5,161,124,32,1,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,WETLAND,WEATHERED,NONE,11,11,5,161,124,30,1,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,WETLAND,WEATHERED,CLOCKWISE_90,11,11,5,161,124,32,1,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,WETLAND,WEATHERED,CLOCKWISE_180,11,11,5,161,124,32,1,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,WETLAND,WEATHERED,COUNTERCLOCKWISE_90,11,11,5,161,124,32,1,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,WETLAND,COLLAPSED,NONE,11,11,5,170,128,34,0,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,WETLAND,COLLAPSED,CLOCKWISE_90,11,11,5,170,128,34,0,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,WETLAND,COLLAPSED,CLOCKWISE_180,11,11,5,170,128,36,0,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,WETLAND,COLLAPSED,COUNTERCLOCKWISE_90,11,11,5,170,128,36,0,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,WETLAND,FAILED_PROSPECTION,NONE,11,11,5,161,124,30,0,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,WETLAND,FAILED_PROSPECTION,CLOCKWISE_90,11,11,5,161,124,32,0,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,WETLAND,FAILED_PROSPECTION,CLOCKWISE_180,11,11,5,161,124,32,0,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,WETLAND,FAILED_PROSPECTION,COUNTERCLOCKWISE_90,11,11,5,161,124,32,0,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,TROPICAL,RECENTLY_ABANDONED,NONE,11,11,5,160,124,30,1,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,TROPICAL,RECENTLY_ABANDONED,CLOCKWISE_90,11,11,5,160,124,32,1,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,TROPICAL,RECENTLY_ABANDONED,CLOCKWISE_180,11,11,5,160,124,32,1,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,TROPICAL,RECENTLY_ABANDONED,COUNTERCLOCKWISE_90,11,11,5,160,124,32,1,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,TROPICAL,WEATHERED,NONE,11,11,5,160,124,30,1,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,TROPICAL,WEATHERED,CLOCKWISE_90,11,11,5,160,124,32,1,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,TROPICAL,WEATHERED,CLOCKWISE_180,11,11,5,160,124,32,1,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,TROPICAL,WEATHERED,COUNTERCLOCKWISE_90,11,11,5,160,124,32,1,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,TROPICAL,COLLAPSED,NONE,11,11,5,169,128,34,0,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,TROPICAL,COLLAPSED,CLOCKWISE_90,11,11,5,169,128,34,0,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,TROPICAL,COLLAPSED,CLOCKWISE_180,11,11,5,169,128,36,0,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,TROPICAL,COLLAPSED,COUNTERCLOCKWISE_90,11,11,5,169,128,36,0,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,TROPICAL,FAILED_PROSPECTION,NONE,11,11,5,160,124,30,0,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,TROPICAL,FAILED_PROSPECTION,CLOCKWISE_90,11,11,5,160,124,32,0,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,TROPICAL,FAILED_PROSPECTION,CLOCKWISE_180,11,11,5,160,124,32,0,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,TROPICAL,FAILED_PROSPECTION,COUNTERCLOCKWISE_90,11,11,5,160,124,32,0,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,ARID,RECENTLY_ABANDONED,NONE,11,11,5,152,115,30,1,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,ARID,RECENTLY_ABANDONED,CLOCKWISE_90,11,11,5,152,115,32,1,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,ARID,RECENTLY_ABANDONED,CLOCKWISE_180,11,11,5,152,115,32,1,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,ARID,RECENTLY_ABANDONED,COUNTERCLOCKWISE_90,11,11,5,152,115,32,1,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,ARID,WEATHERED,NONE,11,11,5,152,115,30,1,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,ARID,WEATHERED,CLOCKWISE_90,11,11,5,152,115,32,1,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,ARID,WEATHERED,CLOCKWISE_180,11,11,5,152,115,32,1,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,ARID,WEATHERED,COUNTERCLOCKWISE_90,11,11,5,152,115,32,1,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,ARID,COLLAPSED,NONE,11,11,5,161,119,34,0,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,ARID,COLLAPSED,CLOCKWISE_90,11,11,5,161,119,34,0,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,ARID,COLLAPSED,CLOCKWISE_180,11,11,5,161,119,36,0,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,ARID,COLLAPSED,COUNTERCLOCKWISE_90,11,11,5,161,119,36,0,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,ARID,FAILED_PROSPECTION,NONE,11,11,5,152,115,30,0,7,0,0,0,STATIC_MODEL_UPPER_BOUND
POOR,ARID,FAILED_PROSPECTION,CLOCKWISE_90,11,11,5,152,115,32,0,7,0,0,0,STATIC_MODEL_UPPER_BOUND
