namespace,biome
biomeswevegone,biomeswevegone:sierra_badlands
biomeswevegone,biomeswevegone:skyris_vale
biomeswevegone,biomeswevegone:temperate_grove
biomeswevegone,biomeswevegone:tropical_rainforest
biomeswevegone,biomeswevegone:weeping_witch_forest
biomeswevegone,biomeswevegone:white_mangrove_marshes
biomeswevegone,biomeswevegone:windswept_desert
biomeswevegone,biomeswevegone:zelkova_forest
minecraft,minecraft:badlands
minecraft,minecraft:bamboo_jungle
minecraft,minecraft:basalt_deltas
minecraft,minecraft:beach
minecraft,minecraft:birch_forest
minecraft,minecraft:cherry_grove
minecraft,minecraft:cold_ocean
minecraft,minecraft:crimson_forest
minecraft,minecraft:dark_forest
minecraft,minecraft:deep_cold_ocean
minecraft,minecraft:deep_dark
minecraft,minecraft:deep_frozen_ocean
minecraft,minecraft:deep_lukewarm_ocean
minecraft,minecraft:deep_ocean
minecraft,minecraft:desert
minecraft,minecraft:dripstone_caves
minecraft,minecraft:end_barrens
minecraft,minecraft:end_highlands
minecraft,minecraft:end_midlands
minecraft,minecraft:eroded_badlands
minecraft,minecraft:flower_forest
minecraft,minecraft:forest
minecraft,minecraft:frozen_ocean
minecraft,minecraft:frozen_peaks
minecraft,minecraft:frozen_river
minecraft,minecraft:grove
minecraft,minecraft:ice_spikes
minecraft,minecraft:jagged_peaks
minecraft,minecraft:jungle
minecraft,minecraft:lukewarm_ocean
minecraft,minecraft:lush_caves
minecraft,minecraft:mangrove_swamp
minecraft,minecraft:meadow
minecraft,minecraft:mushroom_fields
minecraft,minecraft:nether_wastes
minecraft,minecraft:ocean
minecraft,minecraft:old_growth_birch_forest
minecraft,minecraft:old_growth_pine_taiga
minecraft,minecraft:old_growth_spruce_taiga
minecraft,minecraft:plains
minecraft,minecraft:river
minecraft,minecraft:savanna
minecraft,minecraft:savanna_plateau
minecraft,minecraft:small_end_islands
minecraft,minecraft:snowy_beach
minecraft,minecraft:snowy_plains
minecraft,minecraft:snowy_slopes
minecraft,minecraft:snowy_taiga
minecraft,minecraft:soul_sand_valley
minecraft,minecraft:sparse_jungle
minecraft,minecraft:stony_peaks
minecraft,minecraft:stony_shore
minecraft,minecraft:sunflower_plains
minecraft,minecraft:swamp
minecraft,minecraft:taiga
minecraft,minecraft:the_end
minecraft,minecraft:the_void
minecraft,minecraft:warm_ocean
minecraft,minecraft:warped_forest
minecraft,minecraft:windswept_forest
minecraft,minecraft:windswept_gravelly_hills
minecraft,minecraft:windswept_hills
minecraft,minecraft:windswept_savanna
minecraft,minecraft:wooded_badlands
regions_unexplored,regions_unexplored:alpha_grove
regions_unexplored,regions_unexplored:ancient_delta
regions_unexplored,regions_unexplored:ashen_woodland
regions_unexplored,regions_unexplored:autumnal_maple_forest
regions_unexplored,regions_unexplored:bamboo_forest
regions_unexplored,regions_unexplored:baobab_savanna
regions_unexplored,regions_unexplored:bayou
regions_unexplored,regions_unexplored:bioshroom_caves
regions_unexplored,regions_unexplored:blackstone_basin
regions_unexplored,regions_unexplored:blackwood_taiga
regions_unexplored,regions_unexplored:boreal_taiga
regions_unexplored,regions_unexplored:chalk_cliffs
regions_unexplored,regions_unexplored:clover_plains
regions_unexplored,regions_unexplored:cold_boreal_taiga
regions_unexplored,regions_unexplored:cold_river
regions_unexplored,regions_unexplored:dry_bushland
regions_unexplored,regions_unexplored:eucalyptus_forest
regions_unexplored,regions_unexplored:fen
regions_unexplored,regions_unexplored:flower_fields
regions_unexplored,regions_unexplored:frozen_pine_taiga
regions_unexplored,regions_unexplored:fungal_fen
regions_unexplored,regions_unexplored:glistering_meadow
regions_unexplored,regions_unexplored:grassland
regions_unexplored,regions_unexplored:grassy_beach
regions_unexplored,regions_unexplored:gravel_beach
regions_unexplored,regions_unexplored:highland_fields
regions_unexplored,regions_unexplored:hyacinth_deeps
regions_unexplored,regions_unexplored:icy_heights
regions_unexplored,regions_unexplored:infernal_holt
regions_unexplored,regions_unexplored:inferno
regions_unexplored,regions_unexplored:joshua_desert
regions_unexplored,regions_unexplored:magnolia_woodland
regions_unexplored,regions_unexplored:maple_forest
regions_unexplored,regions_unexplored:marsh
regions_unexplored,regions_unexplored:muddy_river
regions_unexplored,regions_unexplored:mycotoxic_undergrowth
regions_unexplored,regions_unexplored:old_growth_bayou
regions_unexplored,regions_unexplored:old_growth_boreal_taiga
regions_unexplored,regions_unexplored:old_growth_forest
regions_unexplored,regions_unexplored:old_growth_golden_boreal_taiga
regions_unexplored,regions_unexplored:orchard
regions_unexplored,regions_unexplored:outback
regions_unexplored,regions_unexplored:pine_slopes
regions_unexplored,regions_unexplored:pine_taiga
regions_unexplored,regions_unexplored:poppy_fields
regions_unexplored,regions_unexplored:prairie
regions_unexplored,regions_unexplored:prismachasm
regions_unexplored,regions_unexplored:rainforest
regions_unexplored,regions_unexplored:redstone_caves
regions_unexplored,regions_unexplored:redwoods
regions_unexplored,regions_unexplored:rocky_reef
regions_unexplored,regions_unexplored:saguaro_desert
regions_unexplored,regions_unexplored:shrubland
regions_unexplored,regions_unexplored:silver_birch_forest
regions_unexplored,regions_unexplored:sparse_rainforest
regions_unexplored,regions_unexplored:sparse_redwoods
regions_unexplored,regions_unexplored:spires
regions_unexplored,regions_unexplored:towering_cliffs
regions_unexplored,regions_unexplored:tropical_river
regions_unexplored,regions_unexplored:tropics
regions_unexplored,regions_unexplored:tundra
regions_unexplored,regions_unexplored:willow_forest
regions_unexplored,regions_unexplored:windswept_maple_forest
regions_unexplored,regions_unexplored:wisteria_grove
