biome,namespace,outcome,profile,mineral_mix,priority,petroleum
biomesoplenty:scrubland,biomesoplenty,specialized,aluminum,immersive_ore_expedition:mineral/aluminum,curated_profile,
biomesoplenty:seasonal_forest,biomesoplenty,generic_ie,,immersiveengineering:generic_by_recipe,generic,
biomesoplenty:shrubland,biomesoplenty,generic_ie,,immersiveengineering:generic_by_recipe,generic,
biomesoplenty:snowblossom_grove,biomesoplenty,specialized,silver,immersive_ore_expedition:mineral/silver,curated_profile,
biomesoplenty:snowy_coniferous_forest,biomesoplenty,specialized,silver,immersive_ore_expedition:mineral/silver,curated_profile,
biomesoplenty:snowy_fir_clearing,biomesoplenty,specialized,silver,immersive_ore_expedition:mineral/silver,curated_profile,
biomesoplenty:snowy_maple_woods,biomesoplenty,specialized,silver,immersive_ore_expedition:mineral/silver,curated_profile,
biomesoplenty:spider_nest,biomesoplenty,specialized,uranium,immersive_ore_expedition:mineral/uranium,curated_profile,
biomesoplenty:tropics,biomesoplenty,specialized,copper,immersive_ore_expedition:mineral/copper,curated_profile,
biomesoplenty:tundra,biomesoplenty,specialized,silver,immersive_ore_expedition:mineral/silver,curated_profile,
biomesoplenty:undergrowth,biomesoplenty,generic_ie,,immersiveengineering:generic_by_recipe,generic,
biomesoplenty:visceral_heap,biomesoplenty,generic_ie,,immersiveengineering:generic_by_recipe,generic,
biomesoplenty:volcanic_plains,biomesoplenty,specialized,redstone,immersive_ore_expedition:mineral/redstone,curated_profile,lava
biomesoplenty:volcano,biomesoplenty,specialized,redstone,immersive_ore_expedition:mineral/redstone,curated_profile,lava
biomesoplenty:wasteland,biomesoplenty,specialized,uranium,immersive_ore_expedition:mineral/uranium,curated_profile,
biomesoplenty:wasteland_steppe,biomesoplenty,specialized,uranium,immersive_ore_expedition:mineral/uranium,curated_profile,
biomesoplenty:wetland,biomesoplenty,specialized,lapis,immersive_ore_expedition:mineral/lapis,curated_profile,
biomesoplenty:wintry_origin_valley,biomesoplenty,generic_ie,,immersiveengineering:generic_by_recipe,generic,
biomesoplenty:withered_abyss,biomesoplenty,generic_ie,,immersiveengineering:generic_by_recipe,generic,
biomesoplenty:woodland,biomesoplenty,generic_ie,,immersiveengineering:generic_by_recipe,generic,
biomeswevegone:allium_shrubland,biomeswevegone,generic_ie,,immersiveengineering:generic_by_recipe,generic,
biomeswevegone:amaranth_grassland,biomeswevegone,generic_ie,,immersiveengineering:generic_by_recipe,generic,
biomeswevegone:araucaria_savanna,biomeswevegone,specialized,aluminum,immersive_ore_expedition:mineral/aluminum,curated_profile,
biomeswevegone:aspen_boreal,biomeswevegone,specialized,nickel,immersive_ore_expedition:mineral/nickel,curated_profile,
biomeswevegone:atacama_outback,biomeswevegone,specialized,coal,immersive_ore_expedition:mineral/coal,curated_profile,oil
biomeswevegone:baobab_savanna,biomeswevegone,specialized,aluminum,immersive_ore_expedition:mineral/aluminum,curated_profile,
biomeswevegone:basalt_barrera,biomeswevegone,aquatic,silt,immersiveengineering:mineral/silt,aquatic,aquifer
biomeswevegone:bayou,biomeswevegone,specialized,lapis,immersive_ore_expedition:mineral/lapis,curated_profile,
biomeswevegone:black_forest,biomeswevegone,generic_ie,,immersiveengineering:generic_by_recipe,generic,
biomeswevegone:canadian_shield,biomeswevegone,specialized,iron,immersive_ore_expedition:mineral/iron,curated_profile,
biomeswevegone:cika_woods,biomeswevegone,generic_ie,,immersiveengineering:generic_by_recipe,generic,
biomeswevegone:coconino_meadow,biomeswevegone,generic_ie,,immersiveengineering:generic_by_recipe,generic,
biomeswevegone:coniferous_forest,biomeswevegone,specialized,nickel,immersive_ore_expedition:mineral/nickel,curated_profile,
biomeswevegone:crag_gardens,biomeswevegone,specialized,emerald,immersive_ore_expedition:mineral/emerald,rare_allowlist,
biomeswevegone:crimson_tundra,biomeswevegone,specialized,silver,immersive_ore_expedition:mineral/silver,curated_profile,
biomeswevegone:cypress_swamplands,biomeswevegone,specialized,lapis,immersive_ore_expedition:mineral/lapis,curated_profile,
biomeswevegone:cypress_wetlands,biomeswevegone,specialized,lapis,immersive_ore_expedition:mineral/lapis,curated_profile,
biomeswevegone:dacite_ridges,biomeswevegone,specialized,lead,immersive_ore_expedition:mineral/lead,curated_profile,
biomeswevegone:dacite_shore,biomeswevegone,aquatic,silt,immersiveengineering:mineral/silt,aquatic,aquifer
biomeswevegone:dead_sea,biomeswevegone,aquatic,ancient_seabed,immersiveengineering:mineral/ancient_seabed,aquatic,aquifer
biomeswevegone:ebony_woods,biomeswevegone,generic_ie,,immersiveengineering:generic_by_recipe,generic,
biomeswevegone:enchanted_tangle,biomeswevegone,specialized,entroized_fluix,immersive_ore_expedition:mineral/entroized_fluix,rare_allowlist,
biomeswevegone:eroded_borealis,biomeswevegone,specialized,silver,immersive_ore_expedition:mineral/silver,curated_profile,
biomeswevegone:firecracker_chaparral,biomeswevegone,generic_ie,,immersiveengineering:generic_by_recipe,generic,
biomeswevegone:forgotten_forest,biomeswevegone,generic_ie,,immersiveengineering:generic_by_recipe,generic,
biomeswevegone:fragment_jungle,biomeswevegone,specialized,copper,immersive_ore_expedition:mineral/copper,curated_profile,
biomeswevegone:frosted_coniferous_forest,biomeswevegone,specialized,silver,immersive_ore_expedition:mineral/silver,curated_profile,
biomeswevegone:frosted_taiga,biomeswevegone,specialized,silver,immersive_ore_expedition:mineral/silver,curated_profile,
biomeswevegone:howling_peaks,biomeswevegone,specialized,lead,immersive_ore_expedition:mineral/lead,curated_profile,
biomeswevegone:ironwood_gour,biomeswevegone,specialized,iron,immersive_ore_expedition:mineral/iron,curated_profile,
biomeswevegone:jacaranda_jungle,biomeswevegone,specialized,copper,immersive_ore_expedition:mineral/copper,curated_profile,
biomeswevegone:lush_stacks,biomeswevegone,aquatic,ancient_seabed,immersiveengineering:mineral/ancient_seabed,aquatic,aquifer
biomeswevegone:maple_taiga,biomeswevegone,specialized,nickel,immersive_ore_expedition:mineral/nickel,curated_profile,
biomeswevegone:mojave_desert,biomeswevegone,specialized,coal,immersive_ore_expedition:mineral/coal,curated_profile,oil
biomeswevegone:orchard,biomeswevegone,generic_ie,,immersiveengineering:generic_by_recipe,generic,
biomeswevegone:overgrowth_woodlands,biomeswevegone,generic_ie,,immersiveengineering:generic_by_recipe,generic,
biomeswevegone:pale_bog,biomeswevegone,specialized,lapis,immersive_ore_expedition:mineral/lapis,curated_profile,
biomeswevegone:prairie,biomeswevegone,specialized,iron,immersive_ore_expedition:mineral/iron,curated_profile,
biomeswevegone:pumpkin_valley,biomeswevegone,generic_ie,,immersiveengineering:generic_by_recipe,generic,
biomeswevegone:rainbow_beach,biomeswevegone,aquatic,silt,immersiveengineering:mineral/silt,aquatic,aquifer
biomeswevegone:red_rock_peaks,biomeswevegone,specialized,gold,immersive_ore_expedition:mineral/gold,curated_profile,
biomeswevegone:red_rock_valley,biomeswevegone,specialized,gold,immersive_ore_expedition:mineral/gold,curated_profile,
biomeswevegone:redwood_thicket,biomeswevegone,specialized,nickel,immersive_ore_expedition:mineral/nickel,curated_profile,
biomeswevegone:rose_fields,biomeswevegone,generic_ie,,immersiveengineering:generic_by_recipe,generic,
biomeswevegone:rugged_badlands,biomeswevegone,specialized,gold,immersive_ore_expedition:mineral/gold,curated_profile,
biomeswevegone:sakura_grove,biomeswevegone,specialized,certus,immersive_ore_expedition:mineral/certus,rare_allowlist,
biomeswevegone:shattered_glacier,biomeswevegone,specialized,diamond,immersive_ore_expedition:mineral/diamond,rare_allowlist,
biomeswevegone:sierra_badlands,biomeswevegone,specialized,gold,immersive_ore_expedition:mineral/gold,curated_profile,
biomeswevegone:skyris_vale,biomeswevegone,specialized,certus,immersive_ore_expedition:mineral/certus,rare_allowlist,
biomeswevegone:temperate_grove,biomeswevegone,generic_ie,,immersiveengineering:generic_by_recipe,generic,
biomeswevegone:tropical_rainforest,biomeswevegone,specialized,copper,immersive_ore_expedition:mineral/copper,curated_profile,
biomeswevegone:weeping_witch_forest,biomeswevegone,specialized,entroized_fluix,immersive_ore_expedition:mineral/entroized_fluix,rare_allowlist,
biomeswevegone:white_mangrove_marshes,biomeswevegone,specialized,lapis,immersive_ore_expedition:mineral/lapis,curated_profile,
biomeswevegone:windswept_desert,biomeswevegone,specialized,coal,immersive_ore_expedition:mineral/coal,curated_profile,oil
biomeswevegone:zelkova_forest,biomeswevegone,generic_ie,,immersiveengineering:generic_by_recipe,generic,
minecraft:badlands,minecraft,specialized,gold,immersive_ore_expedition:mineral/gold,curated_profile,
minecraft:bamboo_jungle,minecraft,specialized,copper,immersive_ore_expedition:mineral/copper,curated_profile,
minecraft:basalt_deltas,minecraft,generic_ie,,immersiveengineering:generic_by_recipe,generic,
minecraft:beach,minecraft,aquatic,silt,immersiveengineering:mineral/silt,aquatic,aquifer
minecraft:birch_forest,minecraft,generic_ie,,immersiveengineering:generic_by_recipe,generic,
minecraft:cherry_grove,minecraft,specialized,certus,immersive_ore_expedition:mineral/certus,rare_allowlist,
minecraft:cold_ocean,minecraft,aquatic,ancient_seabed,immersiveengineering:mineral/ancient_seabed,aquatic,aquifer
minecraft:crimson_forest,minecraft,generic_ie,,immersiveengineering:generic_by_recipe,generic,
minecraft:dark_forest,minecraft,generic_ie,,immersiveengineering:generic_by_recipe,generic,
minecraft:deep_cold_ocean,minecraft,aquatic,ancient_seabed,immersiveengineering:mineral/ancient_seabed,aquatic,aquifer
minecraft:deep_dark,minecraft,generic_ie,,immersiveengineering:generic_by_recipe,generic,
minecraft:deep_frozen_ocean,minecraft,aquatic,ancient_seabed,immersiveengineering:mineral/ancient_seabed,aquatic,aquifer
minecraft:deep_lukewarm_ocean,minecraft,aquatic,ancient_seabed,immersiveengineering:mineral/ancient_seabed,aquatic,aquifer
minecraft:deep_ocean,minecraft,aquatic,ancient_seabed,immersiveengineering:mineral/ancient_seabed,aquatic,aquifer
minecraft:desert,minecraft,specialized,coal,immersive_ore_expedition:mineral/coal,curated_profile,oil
minecraft:dripstone_caves,minecraft,generic_ie,,immersiveengineering:generic_by_recipe,generic,
minecraft:end_barrens,minecraft,generic_ie,,immersiveengineering:generic_by_recipe,generic,
minecraft:end_highlands,minecraft,generic_ie,,immersiveengineering:generic_by_recipe,generic,
minecraft:end_midlands,minecraft,generic_ie,,immersiveengineering:generic_by_recipe,generic,
minecraft:eroded_badlands,minecraft,specialized,gold,immersive_ore_expedition:mineral/gold,curated_profile,
minecraft:flower_forest,minecraft,generic_ie,,immersiveengineering:generic_by_recipe,generic,
minecraft:forest,minecraft,generic_ie,,immersiveengineering:generic_by_recipe,generic,
minecraft:frozen_ocean,minecraft,aquatic,ancient_seabed,immersiveengineering:mineral/ancient_seabed,aquatic,aquifer
minecraft:frozen_peaks,minecraft,specialized,diamond,immersive_ore_expedition:mineral/diamond,rare_allowlist,
minecraft:frozen_river,minecraft,aquatic,alluvial_sift,immersiveengineering:mineral/alluvial_sift,aquatic,aquifer
minecraft:grove,minecraft,specialized,emerald,immersive_ore_expedition:mineral/emerald,rare_allowlist,
minecraft:ice_spikes,minecraft,specialized,silver,immersive_ore_expedition:mineral/silver,curated_profile,
minecraft:jagged_peaks,minecraft,specialized,lead,immersive_ore_expedition:mineral/lead,curated_profile,
minecraft:jungle,minecraft,specialized,copper,immersive_ore_expedition:mineral/copper,curated_profile,
minecraft:lukewarm_ocean,minecraft,aquatic,ancient_seabed,immersiveengineering:mineral/ancient_seabed,aquatic,aquifer
minecraft:lush_caves,minecraft,generic_ie,,immersiveengineering:generic_by_recipe,generic,
minecraft:mangrove_swamp,minecraft,specialized,lapis,immersive_ore_expedition:mineral/lapis,curated_profile,
minecraft:meadow,minecraft,specialized,iron,immersive_ore_expedition:mineral/iron,curated_profile,
minecraft:mushroom_fields,minecraft,specialized,entroized_fluix,immersive_ore_expedition:mineral/entroized_fluix,rare_allowlist,
minecraft:nether_wastes,minecraft,generic_ie,,immersiveengineering:generic_by_recipe,generic,
minecraft:ocean,minecraft,aquatic,ancient_seabed,immersiveengineering:mineral/ancient_seabed,aquatic,aquifer
minecraft:old_growth_birch_forest,minecraft,generic_ie,,immersiveengineering:generic_by_recipe,generic,
minecraft:old_growth_pine_taiga,minecraft,specialized,nickel,immersive_ore_expedition:mineral/nickel,curated_profile,
minecraft:old_growth_spruce_taiga,minecraft,specialized,nickel,immersive_ore_expedition:mineral/nickel,curated_profile,
minecraft:plains,minecraft,generic_ie,,immersiveengineering:generic_by_recipe,generic,
minecraft:river,minecraft,aquatic,alluvial_sift,immersiveengineering:mineral/alluvial_sift,aquatic,aquifer
minecraft:savanna,minecraft,specialized,aluminum,immersive_ore_expedition:mineral/aluminum,curated_profile,
minecraft:savanna_plateau,minecraft,specialized,aluminum,immersive_ore_expedition:mineral/aluminum,curated_profile,
minecraft:small_end_islands,minecraft,generic_ie,,immersiveengineering:generic_by_recipe,generic,
minecraft:snowy_beach,minecraft,aquatic,silt,immersiveengineering:mineral/silt,aquatic,aquifer
minecraft:snowy_plains,minecraft,specialized,silver,immersive_ore_expedition:mineral/silver,curated_profile,
minecraft:snowy_slopes,minecraft,specialized,silver,immersive_ore_expedition:mineral/silver,curated_profile,
minecraft:snowy_taiga,minecraft,specialized,silver,immersive_ore_expedition:mineral/silver,curated_profile,
minecraft:soul_sand_valley,minecraft,generic_ie,,immersiveengineering:generic_by_recipe,generic,
minecraft:sparse_jungle,minecraft,specialized,copper,immersive_ore_expedition:mineral/copper,curated_profile,
minecraft:stony_peaks,minecraft,specialized,lead,immersive_ore_expedition:mineral/lead,curated_profile,
minecraft:stony_shore,minecraft,aquatic,silt,immersiveengineering:mineral/silt,aquatic,aquifer
minecraft:sunflower_plains,minecraft,generic_ie,,immersiveengineering:generic_by_recipe,generic,
minecraft:swamp,minecraft,specialized,lapis,immersive_ore_expedition:mineral/lapis,curated_profile,
minecraft:taiga,minecraft,specialized,nickel,immersive_ore_expedition:mineral/nickel,curated_profile,
minecraft:the_end,minecraft,generic_ie,,immersiveengineering:generic_by_recipe,generic,
minecraft:the_void,minecraft,generic_ie,,immersiveengineering:generic_by_recipe,generic,
minecraft:warm_ocean,minecraft,aquatic,ancient_seabed,immersiveengineering:mineral/ancient_seabed,aquatic,aquifer
minecraft:warped_forest,minecraft,generic_ie,,immersiveengineering:generic_by_recipe,generic,
minecraft:windswept_forest,minecraft,specialized,iron,immersive_ore_expedition:mineral/iron,curated_profile,
minecraft:windswept_gravelly_hills,minecraft,specialized,lead,immersive_ore_expedition:mineral/lead,curated_profile,
minecraft:windswept_hills,minecraft,specialized,iron,immersive_ore_expedition:mineral/iron,curated_profile,
minecraft:windswept_savanna,minecraft,specialized,aluminum,immersive_ore_expedition:mineral/aluminum,curated_profile,
minecraft:wooded_badlands,minecraft,specialized,gold,immersive_ore_expedition:mineral/gold,curated_profile,
regions_unexplored:alpha_grove,regions_unexplored,specialized,certus,immersive_ore_expedition:mineral/certus,rare_allowlist,
regions_unexplored:ancient_delta,regions_unexplored,aquatic,alluvial_sift,immersiveengineering:mineral/alluvial_sift,aquatic,aquifer
regions_unexplored:ashen_woodland,regions_unexplored,specialized,uranium,immersive_ore_expedition:mineral/uranium,curated_profile,
regions_unexplored:autumnal_maple_forest,regions_unexplored,generic_ie,,immersiveengineering:generic_by_recipe,generic,
regions_unexplored:bamboo_forest,regions_unexplored,specialized,copper,immersive_ore_expedition:mineral/copper,curated_profile,
regions_unexplored:baobab_savanna,regions_unexplored,specialized,aluminum,immersive_ore_expedition:mineral/aluminum,curated_profile,
regions_unexplored:bayou,regions_unexplored,specialized,lapis,immersive_ore_expedition:mineral/lapis,curated_profile,
regions_unexplored:bioshroom_caves,regions_unexplored,specialized,entroized_fluix,immersive_ore_expedition:mineral/entroized_fluix,rare_allowlist,
regions_unexplored:blackstone_basin,regions_unexplored,generic_ie,,immersiveengineering:generic_by_recipe,generic,
regions_unexplored:blackwood_taiga,regions_unexplored,specialized,nickel,immersive_ore_expedition:mineral/nickel,curated_profile,
regions_unexplored:boreal_taiga,regions_unexplored,specialized,nickel,immersive_ore_expedition:mineral/nickel,curated_profile,
regions_unexplored:chalk_cliffs,regions_unexplored,specialized,lead,immersive_ore_expedition:mineral/lead,curated_profile,
regions_unexplored:clover_plains,regions_unexplored,generic_ie,,immersiveengineering:generic_by_recipe,generic,
regions_unexplored:cold_boreal_taiga,regions_unexplored,specialized,silver,immersive_ore_expedition:mineral/silver,curated_profile,
regions_unexplored:cold_river,regions_unexplored,aquatic,alluvial_sift,immersiveengineering:mineral/alluvial_sift,aquatic,aquifer
regions_unexplored:dry_bushland,regions_unexplored,specialized,aluminum,immersive_ore_expedition:mineral/aluminum,curated_profile,
regions_unexplored:eucalyptus_forest,regions_unexplored,generic_ie,,immersiveengineering:generic_by_recipe,generic,
regions_unexplored:fen,regions_unexplored,specialized,lapis,immersive_ore_expedition:mineral/lapis,curated_profile,
regions_unexplored:flower_fields,regions_unexplored,generic_ie,,immersiveengineering:generic_by_recipe,generic,
regions_unexplored:frozen_pine_taiga,regions_unexplored,specialized,silver,immersive_ore_expedition:mineral/silver,curated_profile,
regions_unexplored:fungal_fen,regions_unexplored,specialized,uranium,immersive_ore_expedition:mineral/uranium,curated_profile,
regions_unexplored:glistering_meadow,regions_unexplored,generic_ie,,immersiveengineering:generic_by_recipe,generic,
regions_unexplored:grassland,regions_unexplored,specialized,iron,immersive_ore_expedition:mineral/iron,curated_profile,
regions_unexplored:grassy_beach,regions_unexplored,aquatic,silt,immersiveengineering:mineral/silt,aquatic,aquifer
regions_unexplored:gravel_beach,regions_unexplored,aquatic,silt,immersiveengineering:mineral/silt,aquatic,aquifer
regions_unexplored:highland_fields,regions_unexplored,specialized,iron,immersive_ore_expedition:mineral/iron,curated_profile,
regions_unexplored:hyacinth_deeps,regions_unexplored,aquatic,ancient_seabed,immersiveengineering:mineral/ancient_seabed,aquatic,aquifer
regions_unexplored:icy_heights,regions_unexplored,specialized,diamond,immersive_ore_expedition:mineral/diamond,rare_allowlist,
regions_unexplored:infernal_holt,regions_unexplored,generic_ie,,immersiveengineering:generic_by_recipe,generic,
regions_unexplored:inferno,regions_unexplored,generic_ie,,immersiveengineering:generic_by_recipe,generic,
regions_unexplored:joshua_desert,regions_unexplored,specialized,coal,immersive_ore_expedition:mineral/coal,curated_profile,oil
regions_unexplored:magnolia_woodland,regions_unexplored,generic_ie,,immersiveengineering:generic_by_recipe,generic,
regions_unexplored:maple_forest,regions_unexplored,generic_ie,,immersiveengineering:generic_by_recipe,generic,
regions_unexplored:marsh,regions_unexplored,specialized,lapis,immersive_ore_expedition:mineral/lapis,curated_profile,
regions_unexplored:muddy_river,regions_unexplored,aquatic,alluvial_sift,immersiveengineering:mineral/alluvial_sift,aquatic,aquifer
regions_unexplored:mycotoxic_undergrowth,regions_unexplored,specialized,uranium,immersive_ore_expedition:mineral/uranium,curated_profile,
regions_unexplored:old_growth_bayou,regions_unexplored,specialized,lapis,immersive_ore_expedition:mineral/lapis,curated_profile,
regions_unexplored:old_growth_boreal_taiga,regions_unexplored,specialized,nickel,immersive_ore_expedition:mineral/nickel,curated_profile,
regions_unexplored:old_growth_forest,regions_unexplored,generic_ie,,immersiveengineering:generic_by_recipe,generic,
regions_unexplored:old_growth_golden_boreal_taiga,regions_unexplored,specialized,nickel,immersive_ore_expedition:mineral/nickel,curated_profile,
regions_unexplored:orchard,regions_unexplored,generic_ie,,immersiveengineering:generic_by_recipe,generic,
regions_unexplored:outback,regions_unexplored,specialized,gold,immersive_ore_expedition:mineral/gold,curated_profile,
regions_unexplored:pine_slopes,regions_unexplored,generic_ie,,immersiveengineering:generic_by_recipe,generic,
regions_unexplored:pine_taiga,regions_unexplored,specialized,nickel,immersive_ore_expedition:mineral/nickel,curated_profile,
regions_unexplored:poppy_fields,regions_unexplored,generic_ie,,immersiveengineering:generic_by_recipe,generic,
regions_unexplored:prairie,regions_unexplored,generic_ie,,immersiveengineering:generic_by_recipe,generic,
regions_unexplored:prismachasm,regions_unexplored,specialized,entroized_fluix,immersive_ore_expedition:mineral/entroized_fluix,rare_allowlist,
regions_unexplored:rainforest,regions_unexplored,specialized,copper,immersive_ore_expedition:mineral/copper,curated_profile,
regions_unexplored:redstone_caves,regions_unexplored,specialized,redstone,immersive_ore_expedition:mineral/redstone,curated_profile,lava
regions_unexplored:redwoods,regions_unexplored,specialized,nickel,immersive_ore_expedition:mineral/nickel,curated_profile,
regions_unexplored:rocky_reef,regions_unexplored,aquatic,silt,immersiveengineering:mineral/silt,aquatic,aquifer
regions_unexplored:saguaro_desert,regions_unexplored,specialized,coal,immersive_ore_expedition:mineral/coal,curated_profile,oil
regions_unexplored:shrubland,regions_unexplored,generic_ie,,immersiveengineering:generic_by_recipe,generic,
regions_unexplored:silver_birch_forest,regions_unexplored,generic_ie,,immersiveengineering:generic_by_recipe,generic,
regions_unexplored:sparse_rainforest,regions_unexplored,specialized,copper,immersive_ore_expedition:mineral/copper,curated_profile,
regions_unexplored:sparse_redwoods,regions_unexplored,specialized,nickel,immersive_ore_expedition:mineral/nickel,curated_profile,
regions_unexplored:spires,regions_unexplored,specialized,diamond,immersive_ore_expedition:mineral/diamond,rare_allowlist,
regions_unexplored:towering_cliffs,regions_unexplored,specialized,lead,immersive_ore_expedition:mineral/lead,curated_profile,
regions_unexplored:tropical_river,regions_unexplored,aquatic,alluvial_sift,immersiveengineering:mineral/alluvial_sift,aquatic,aquifer
regions_unexplored:tropics,regions_unexplored,specialized,copper,immersive_ore_expedition:mineral/copper,curated_profile,
regions_unexplored:tundra,regions_unexplored,specialized,silver,immersive_ore_expedition:mineral/silver,curated_profile,
regions_unexplored:willow_forest,regions_unexplored,generic_ie,,immersiveengineering:generic_by_recipe,generic,
regions_unexplored:windswept_maple_forest,regions_unexplored,generic_ie,,immersiveengineering:generic_by_recipe,generic,
regions_unexplored:wisteria_grove,regions_unexplored,specialized,emerald,immersive_ore_expedition:mineral/emerald,rare_allowlist,
