quality,visual_family,structure_state,coverage_seed,target_footprint,placed_footprint,max_height,loot_containers,max_domum_block_entities,vegetation_accents,raised_shelter,vanilla_fallback,surface_ore_blocks,biome_shelter_geometry
POOR,TROPICAL,ABANDONED,0x1,11,11,5,1,7,3,yes,yes,0,raised_ventilated_lattice
POOR,ARID,WEATHERED,0x0,11,11,5,1,7,1,no,yes,0,upper_shade_valance
POOR,ARID,ABANDONED,0x1,11,11,5,1,7,1,no,yes,0,upper_shade_valance
POOR,ROCKY,WEATHERED,0x0,11,11,5,1,7,1,no,yes,0,paired_vertical_rock_anchors
POOR,ROCKY,ABANDONED,0x1,11,11,5,1,7,1,no,yes,0,paired_vertical_rock_anchors
POOR,VOLCANIC,WEATHERED,0x1,11,11,5,1,7,0,no,yes,0,compact_stone_screen_and_gear_plinth
POOR,VOLCANIC,ABANDONED,0x0,11,11,5,1,7,0,no,yes,0,compact_stone_screen_and_gear_plinth
NORMAL,TEMPERATE,WEATHERED,0x0,13,13,6,2,12,2,no,yes,0,open_baseline
NORMAL,TEMPERATE,ACTIVE_RECENT,0x1,13,13,6,2,12,2,no,yes,0,open_baseline
NORMAL,CONIFER,WEATHERED,0x0,13,13,6,2,12,2,no,yes,0,two_sided_windbreak_and_log_reserve
NORMAL,CONIFER,ACTIVE_RECENT,0x1,13,13,6,2,12,2,no,yes,0,two_sided_windbreak_and_log_reserve
NORMAL,SNOWY,WEATHERED,0x1,13,13,6,2,12,2,no,yes,0,rear_windbreak_and_covered_log_cache
NORMAL,SNOWY,ACTIVE_RECENT,0x0,13,13,6,2,12,2,no,yes,0,rear_windbreak_and_covered_log_cache
NORMAL,WETLAND,WEATHERED,0x2,13,13,6,2,12,2,yes,yes,0,raised_stable_deck
NORMAL,WETLAND,ACTIVE_RECENT,0x0,13,13,6,2,12,2,yes,yes,0,raised_stable_deck
NORMAL,TROPICAL,WEATHERED,0x4,13,13,6,2,12,3,yes,yes,0,raised_ventilated_lattice
NORMAL,TROPICAL,ACTIVE_RECENT,0x0,13,13,6,2,12,3,yes,yes,0,raised_ventilated_lattice
NORMAL,ARID,WEATHERED,0x0,13,13,6,2,12,1,no,yes,0,upper_shade_valance
NORMAL,ARID,ACTIVE_RECENT,0x1,13,13,6,2,12,1,no,yes,0,upper_shade_valance
NORMAL,ROCKY,WEATHERED,0x0,13,13,6,2,12,1,no,yes,0,paired_vertical_rock_anchors
NORMAL,ROCKY,ACTIVE_RECENT,0x3,13,13,6,2,12,1,no,yes,0,paired_vertical_rock_anchors
NORMAL,VOLCANIC,WEATHERED,0x3,13,13,6,2,12,0,no,yes,0,compact_stone_screen_and_gear_plinth
NORMAL,VOLCANIC,ACTIVE_RECENT,0x0,13,13,6,2,12,0,no,yes,0,compact_stone_screen_and_gear_plinth
RICH,TEMPERATE,ACTIVE_RECENT,0x0,15,15,7,2,18,2,no,yes,0,open_baseline
RICH,TEMPERATE,WEATHERED,0x1,15,15,7,2,18,2,no,yes,0,open_baseline
RICH,CONIFER,ACTIVE_RECENT,0x0,15,15,7,2,18,2,no,yes,0,two_sided_windbreak_and_log_reserve
RICH,CONIFER,WEATHERED,0x2,15,15,7,2,18,2,no,yes,0,two_sided_windbreak_and_log_reserve
RICH,SNOWY,ACTIVE_RECENT,0x0,15,15,7,2,18,2,no,yes,0,rear_windbreak_and_covered_log_cache
RICH,SNOWY,WEATHERED,0x3,15,15,7,2,18,2,no,yes,0,rear_windbreak_and_covered_log_cache
RICH,WETLAND,ACTIVE_RECENT,0x2,15,15,7,2,18,2,yes,yes,0,raised_stable_deck
RICH,WETLAND,WEATHERED,0x0,15,15,7,2,18,2,yes,yes,0,raised_stable_deck
RICH,TROPICAL,ACTIVE_RECENT,0x2,15,15,7,2,18,3,yes,yes,0,raised_ventilated_lattice
RICH,TROPICAL,WEATHERED,0x0,15,15,7,2,18,3,yes,yes,0,raised_ventilated_lattice
RICH,ARID,ACTIVE_RECENT,0x1,15,15,7,2,18,1,no,yes,0,upper_shade_valance
RICH,ARID,WEATHERED,0x0,15,15,7,2,18,1,no,yes,0,upper_shade_valance
RICH,ROCKY,ACTIVE_RECENT,0x1,15,15,7,2,18,1,no,yes,0,paired_vertical_rock_anchors
RICH,ROCKY,WEATHERED,0x0,15,15,7,2,18,1,no,yes,0,paired_vertical_rock_anchors
RICH,VOLCANIC,ACTIVE_RECENT,0x3,15,15,7,2,18,0,no,yes,0,compact_stone_screen_and_gear_plinth
RICH,VOLCANIC,WEATHERED,0x0,15,15,7,2,18,0,no,yes,0,compact_stone_screen_and_gear_plinth
MOTHERLODE,TEMPERATE,ACTIVE_RECENT,0x1,17,15,8,2,24,2,no,yes,0,open_baseline
MOTHERLODE,TEMPERATE,WEATHERED,0x0,17,15,8,2,24,2,no,yes,0,open_baseline
MOTHERLODE,CONIFER,ACTIVE_RECENT,0x1,17,15,8,2,24,2,no,yes,0,two_sided_windbreak_and_log_reserve
MOTHERLODE,CONIFER,WEATHERED,0x0,17,15,8,2,24,2,no,yes,0,two_sided_windbreak_and_log_reserve
MOTHERLODE,SNOWY,ACTIVE_RECENT,0x2,17,15,8,2,24,2,no,yes,0,rear_windbreak_and_covered_log_cache
MOTHERLODE,SNOWY,WEATHERED,0x0,17,15,8,2,24,2,no,yes,0,rear_windbreak_and_covered_log_cache
MOTHERLODE,WETLAND,ACTIVE_RECENT,0x1,17,15,8,2,24,2,yes,yes,0,raised_stable_deck
MOTHERLODE,WETLAND,WEATHERED,0x0,17,15,8,2,24,2,yes,yes,0,raised_stable_deck
MOTHERLODE,TROPICAL,ACTIVE_RECENT,0x0,17,15,8,2,24,3,yes,yes,0,raised_ventilated_lattice
MOTHERLODE,TROPICAL,WEATHERED,0x1,17,15,8,2,24,3,yes,yes,0,raised_ventilated_lattice
MOTHERLODE,ARID,ACTIVE_RECENT,0x1,17,15,8,2,24,1,no,yes,0,upper_shade_valance
MOTHERLODE,ARID,WEATHERED,0x0,17,15,8,2,24,1,no,yes,0,upper_shade_valance
MOTHERLODE,ROCKY,ACTIVE_RECENT,0x0,17,15,8,2,24,1,no,yes,0,paired_vertical_rock_anchors
MOTHERLODE,ROCKY,WEATHERED,0x1,17,15,8,2,24,1,no,yes,0,paired_vertical_rock_anchors
MOTHERLODE,VOLCANIC,ACTIVE_RECENT,0x1,17,15,8,2,24,0,no,yes,0,compact_stone_screen_and_gear_plinth
MOTHERLODE,VOLCANIC,WEATHERED,0x0,17,15,8,2,24,0,no,yes,0,compact_stone_screen_and_gear_plinth
